token_num,term_str,n,num,stop,p_stem
9905,color,44,0,0,color
9906,colorado,137,0,0,colorado
9907,coloradobased,4,0,0,coloradobas
9908,colorados,5,0,0,colorado
9909,colorcoding,1,0,0,colorcod
9910,colorectal,2,0,0,colorect
9911,colorful,4,0,0,color
9912,coloring,1,0,0,color
9913,colorist,1,0,0,colorist
9914,colormatching,1,0,0,colormatch
9915,colors,13,0,0,color
9916,colour,1,0,0,colour
9917,columbarium,1,0,0,columbarium
9918,columbia,76,0,0,columbia
9919,columbiailsa,4,0,0,columbiailsa
9920,columbiana,1,0,0,columbiana
9921,columbiatrained,1,0,0,columbiatrain
9922,columbus,32,0,0,columbu
9923,column,2,0,0,column
9924,columnists,1,0,0,columnist
9925,columns,3,0,0,column
9926,columnstore,1,0,0,columnstor
9927,colvard,2,0,0,colvard
9928,colyar,1,0,0,colyar
9929,com,4,0,0,com
9930,comanufactured,1,0,0,comanufactur
9931,comanufacturer,1,0,0,comanufactur
9932,comapany,1,0,0,comapani
9933,comb,1,0,0,comb
9934,combat,15,0,0,combat
9935,combating,2,0,0,combat
9936,combats,1,0,0,combat
9937,combination,120,0,0,combin
9938,combinations,10,0,0,combin
9939,combinator,10,0,0,combin
9940,combinatorbacked,1,0,0,combinatorback
9941,combinators,3,0,0,combin
9942,combine,79,0,0,combin
9943,combined,158,0,0,combin
9944,combines,145,0,0,combin
9945,combining,88,0,0,combin
9946,combiwagons,1,0,0,combiwagon
9947,combo,1,0,0,combo
9948,combs,2,0,0,comb
9949,combustible,1,0,0,combust
9950,combustion,7,0,0,combust
9951,comcast,3,0,0,comcast
9952,comcourse,2,0,0,comcours
9953,come,158,0,0,come
9954,comedy,3,0,0,comedi
9955,comedynews,1,0,0,comedynew
9956,comerica,4,0,0,comerica
9957,comericacares,1,0,0,comericacar
9958,comericaecon,1,0,0,comericaecon
9959,comericas,3,0,0,comerica
9960,comes,80,0,0,come
9961,comets,1,0,0,comet
9962,comfort,63,0,0,comfort
9963,comfortable,42,0,0,comfort
9964,comfortably,3,0,0,comfort
9965,comforters,1,0,0,comfort
9966,comfortoriented,1,0,0,comfortori
9967,comforts,4,0,0,comfort
9968,comfreight,3,0,0,comfreight
9969,comic,12,0,0,comic
9970,comics,10,0,0,comic
9971,coming,39,0,0,come
9972,comings,1,0,0,come
9973,command,11,0,0,command
9974,commande,1,0,0,command
9975,commander,2,0,0,command
9976,commanders,1,0,0,command
9977,commandline,1,0,0,commandlin
9978,commands,1,0,0,command
9979,commecial,1,0,0,commeci
9980,commemorated,1,0,0,commemor
9981,commemorative,1,0,0,commemor
9982,commenced,5,0,0,commenc
9983,commencement,3,0,0,commenc
9984,commencements,1,0,0,commenc
9985,commencing,1,0,0,commenc
9986,comment,6,0,0,comment
9987,commentaries,7,0,0,commentari
9988,commentary,13,0,0,commentari
9989,commentators,3,0,0,comment
9990,commenting,5,0,0,comment
9991,comments,13,0,0,comment
9992,commentslikes,1,0,0,commentslik
9993,commerce,65,0,0,commerc
9994,commercehub,4,0,0,commercehub
9995,commercial,696,0,0,commerci
9996,commercialclass,1,0,0,commercialclass
9997,commerciality,1,0,0,commerci
9998,commercialization,32,0,0,commerci
9999,commercialize,16,0,0,commerci
10000,commercialized,6,0,0,commerci
10001,commercializes,12,0,0,commerci
10002,commercializing,28,0,0,commerci
10003,commercially,14,0,0,commerci
10004,commercials,2,0,0,commerci
10005,commercialscale,1,0,0,commercialscal
10006,commercialstage,5,0,0,commercialstag
10007,commissaries,1,0,0,commissari
10008,commission,67,0,0,commiss
10009,commissioned,4,0,0,commiss
10010,commissioner,2,0,0,commission
10011,commissioners,4,0,0,commission
10012,commissionfree,3,0,0,commissionfre
10013,commissioning,5,0,0,commiss
10014,commissions,12,0,0,commiss
10015,commit,9,0,0,commit
10016,commitement,1,0,0,commit
10017,commitment,228,0,0,commit
10018,commitmentbased,1,0,0,commitmentbas
10019,commitments,10,0,0,commit
10020,commits,2,0,0,commit
10021,committed,353,0,0,commit
10022,committee,8,0,0,committe
10023,committees,6,0,0,committe
10024,committers,1,0,0,committ
10025,committing,4,0,0,commit
10026,commodities,20,0,0,commod
10027,commoditizes,1,0,0,commodit
10028,commodity,15,0,0,commod
10029,commodityagribusiness,1,0,0,commodityagribusi
10030,common,120,0,0,common
10031,commonality,2,0,0,common
10032,commongrounds,1,0,0,commonground
10033,commonly,8,0,0,commonli
10034,commonplace,1,0,0,commonplac
10035,commons,3,0,0,common
